d,ticker,value,nt,nm_numtype,desc_numtype
2009-03-02,DJX,0.365851253,11,vol_063,Volatility 3-month
2009-03-03,DJX,-0.00548597,1,r,Return
2009-03-03,DJX,67.26,2,p,Price
2009-03-03,DJX,0.336545236,9,vol_021,Volatility 1-month
2009-03-03,DJX,0.364470881,11,vol_063,Volatility 3-month
2009-03-04,DJX,0.02205647,1,r,Return
2009-03-04,DJX,68.76,2,p,Price
2009-03-04,DJX,0.352567634,9,vol_021,Volatility 1-month
2009-03-04,DJX,0.334098749,11,vol_063,Volatility 3-month
2009-03-05,DJX,-0.04187694,1,r,Return
2009-03-05,DJX,65.94,2,p,Price
2009-03-05,DJX,0.360730984,9,vol_021,Volatility 1-month
2009-03-05,DJX,0.335322639,11,vol_063,Volatility 3-month
2009-03-06,DJX,0.00499207,1,r,Return
2009-03-06,DJX,66.27,2,p,Price
2009-03-06,DJX,0.363622049,9,vol_021,Volatility 1-month
2009-03-06,DJX,0.332207539,11,vol_063,Volatility 3-month
2009-03-09,DJX,-0.01214528,1,r,Return
2009-03-09,DJX,65.47,2,p,Price
2009-03-09,DJX,0.354846931,9,vol_021,Volatility 1-month
2009-03-09,DJX,0.329789696,11,vol_063,Volatility 3-month
2009-03-10,DJX,0.05627552,1,r,Return
2009-03-10,DJX,69.26,2,p,Price
2009-03-10,DJX,0.404628096,9,vol_021,Volatility 1-month
2009-03-10,DJX,0.344444057,11,vol_063,Volatility 3-month
2009-03-11,DJX,0.00057737,1,r,Return
2009-03-11,DJX,69.3,2,p,Price
2009-03-11,DJX,0.405081064,9,vol_021,Volatility 1-month
2009-03-11,DJX,0.336019013,11,vol_063,Volatility 3-month
2009-03-12,DJX,0.03404584,1,r,Return
2009-03-12,DJX,71.7,2,p,Price
2009-03-12,DJX,0.404744528,9,vol_021,Volatility 1-month
2009-03-12,DJX,0.341033497,11,vol_063,Volatility 3-month
2009-03-13,DJX,0.00750316,1,r,Return
2009-03-13,DJX,72.24,2,p,Price
2009-03-13,DJX,0.405123539,9,vol_021,Volatility 1-month
2009-03-13,DJX,0.340966574,11,vol_063,Volatility 3-month
2009-03-16,DJX,-0.00096946,1,r,Return
2009-03-16,DJX,72.17,2,p,Price
2009-03-16,DJX,0.40511381,9,vol_021,Volatility 1-month
2009-03-16,DJX,0.338659193,11,vol_063,Volatility 3-month
2009-03-17,DJX,0.02449996,1,r,Return
2009-03-17,DJX,73.96,2,p,Price
2009-03-17,DJX,0.416564044,9,vol_021,Volatility 1-month
2009-03-17,DJX,0.342422588,11,vol_063,Volatility 3-month
2009-03-18,DJX,0.01222887,1,r,Return
2009-03-18,DJX,74.87,2,p,Price
2009-03-18,DJX,0.398434495,9,vol_021,Volatility 1-month
2009-03-18,DJX,0.34350761,11,vol_063,Volatility 3-month
2009-03-19,DJX,-0.01155306,1,r,Return
2009-03-19,DJX,74.01,2,p,Price
2009-03-19,DJX,0.400272756,9,vol_021,Volatility 1-month
2009-03-19,DJX,0.332559282,11,vol_063,Volatility 3-month
2009-03-20,DJX,-0.01675903,1,r,Return
2009-03-20,DJX,72.78,2,p,Price
2009-03-20,DJX,0.402263044,9,vol_021,Volatility 1-month
2009-03-20,DJX,0.333296561,11,vol_063,Volatility 3-month
2009-03-23,DJX,0.06618597,1,r,Return
2009-03-23,DJX,77.76,2,p,Price
2009-03-23,DJX,0.461897817,9,vol_021,Volatility 1-month
2009-03-23,DJX,0.357849105,11,vol_063,Volatility 3-month
2009-03-24,DJX,-0.01503008,1,r,Return
2009-03-24,DJX,76.6,2,p,Price
2009-03-24,DJX,0.446702377,9,vol_021,Volatility 1-month
2009-03-24,DJX,0.358846413,11,vol_063,Volatility 3-month
2009-03-25,DJX,0.01168086,1,r,Return
2009-03-25,DJX,77.5,2,p,Price
2009-03-25,DJX,0.435244763,9,vol_021,Volatility 1-month
2009-03-25,DJX,0.359695904,11,vol_063,Volatility 3-month
2009-03-26,DJX,0.02232948,1,r,Return
2009-03-26,DJX,79.25,2,p,Price
2009-03-26,DJX,0.4375353,9,vol_021,Volatility 1-month
2009-03-26,DJX,0.362177694,11,vol_063,Volatility 3-month
2009-03-27,DJX,-0.01898025,1,r,Return
2009-03-27,DJX,77.76,2,p,Price
2009-03-27,DJX,0.44127908,9,vol_021,Volatility 1-month
2009-03-27,DJX,0.363685357,11,vol_063,Volatility 3-month
2009-03-30,DJX,-0.03321001,1,r,Return
2009-03-30,DJX,75.22,2,p,Price
2009-03-30,DJX,0.454441011,9,vol_021,Volatility 1-month
2009-03-30,DJX,0.368910583,11,vol_063,Volatility 3-month
2009-03-31,DJX,0.0114997,1,r,Return
2009-03-31,DJX,76.09,2,p,Price
2009-03-31,DJX,0.422480342,9,vol_021,Volatility 1-month
2009-03-31,DJX,0.369870707,11,vol_063,Volatility 3-month
2009-04-01,DJX,0.01990828,1,r,Return
2009-04-01,DJX,77.62,2,p,Price
2009-04-01,DJX,0.423232409,9,vol_021,Volatility 1-month
2009-04-01,DJX,0.369489142,11,vol_063,Volatility 3-month
2009-04-02,DJX,0.02744772,1,r,Return
2009-04-02,DJX,79.78,2,p,Price
2009-04-02,DJX,0.426080066,9,vol_021,Volatility 1-month
2009-04-02,DJX,0.37304301,11,vol_063,Volatility 3-month
2009-04-03,DJX,0.00500126,1,r,Return
2009-04-03,DJX,80.18,2,p,Price
2009-04-03,DJX,0.387404602,9,vol_021,Volatility 1-month
2009-04-03,DJX,0.368090614,11,vol_063,Volatility 3-month
2009-04-06,DJX,-0.00525198,1,r,Return
2009-04-06,DJX,79.76,2,p,Price
2009-04-06,DJX,0.390456808,9,vol_021,Volatility 1-month
2009-04-06,DJX,0.36786349,11,vol_063,Volatility 3-month
2009-04-07,DJX,-0.02359617,1,r,Return
2009-04-07,DJX,77.9,2,p,Price
2009-04-07,DJX,0.400100833,9,vol_021,Volatility 1-month
2009-04-07,DJX,0.36997066,11,vol_063,Volatility 3-month
2009-04-08,DJX,0.00601525,1,r,Return
2009-04-08,DJX,78.37,2,p,Price
2009-04-08,DJX,0.360002622,9,vol_021,Volatility 1-month
2009-04-08,DJX,0.366741861,11,vol_063,Volatility 3-month
2009-04-09,DJX,0.03090698,1,r,Return
2009-04-09,DJX,80.83,2,p,Price
2009-04-09,DJX,0.369573089,9,vol_021,Volatility 1-month
2009-04-09,DJX,0.372505794,11,vol_063,Volatility 3-month
2009-04-13,DJX,-0.0030977,1,r,Return
2009-04-13,DJX,80.58,2,p,Price
2009-04-13,DJX,0.357955727,9,vol_021,Volatility 1-month
2009-04-13,DJX,0.37123823,11,vol_063,Volatility 3-month
2009-04-14,DJX,-0.01727418,1,r,Return
2009-04-14,DJX,79.2,2,p,Price
2009-04-14,DJX,0.366450551,9,vol_021,Volatility 1-month
2009-04-14,DJX,0.371667355,11,vol_063,Volatility 3-month
2009-04-15,DJX,0.01379332,1,r,Return
2009-04-15,DJX,80.3,2,p,Price
2009-04-15,DJX,0.367302495,9,vol_021,Volatility 1-month
2009-04-15,DJX,0.372830327,11,vol_063,Volatility 3-month
2009-04-16,DJX,0.0117612,1,r,Return
2009-04-16,DJX,81.25,2,p,Price
2009-04-16,DJX,0.36142122,9,vol_021,Volatility 1-month
2009-04-16,DJX,0.368902474,11,vol_063,Volatility 3-month
2009-04-17,DJX,0.00073819,1,r,Return
2009-04-17,DJX,81.31,2,p,Price
2009-04-17,DJX,0.360506464,9,vol_021,Volatility 1-month
2009-04-17,DJX,0.368892486,11,vol_063,Volatility 3-month
2009-04-20,DJX,-0.03619001,1,r,Return
2009-04-20,DJX,78.42,2,p,Price
2009-04-20,DJX,0.383224368,9,vol_021,Volatility 1-month
2009-04-20,DJX,0.375413631,11,vol_063,Volatility 3-month
2009-04-21,DJX,0.01619059,1,r,Return
2009-04-21,DJX,79.7,2,p,Price
2009-04-21,DJX,0.379058059,9,vol_021,Volatility 1-month
2009-04-21,DJX,0.367949451,11,vol_063,Volatility 3-month
2009-04-22,DJX,-0.01046866,1,r,Return
2009-04-22,DJX,78.87,2,p,Price
2009-04-22,DJX,0.307733462,9,vol_021,Volatility 1-month
2009-04-22,DJX,0.361773685,11,vol_063,Volatility 3-month
2009-04-23,DJX,0.00883621,1,r,Return
2009-04-23,DJX,79.57,2,p,Price
2009-04-23,DJX,0.303462686,9,vol_021,Volatility 1-month
2009-04-23,DJX,0.361407216,11,vol_063,Volatility 3-month
2009-04-24,DJX,0.01484466,1,r,Return
2009-04-24,DJX,80.76,2,p,Price
2009-04-24,DJX,0.304953414,9,vol_021,Volatility 1-month
2009-04-24,DJX,0.362509194,11,vol_063,Volatility 3-month
2009-04-27,DJX,-0.00633503,1,r,Return
2009-04-27,DJX,80.25,2,p,Price
2009-04-27,DJX,0.296890785,9,vol_021,Volatility 1-month
