d,dbo_bench_ticker,dbo_dim_equity_ticker,dbo_benchvalue_value,dbo_dailyvalue_value
2008-10-17,SPTR,GS,-0.00621419,0.016762717
2008-10-17,VIX,GS,0.03944255,0.016762717
2008-10-20,SPX,GS,0.04658284,0.061087573
2008-10-20,SPTR,GS,0.04658244,0.061087573
2008-10-20,VIX,GS,-0.28347274,0.061087573
2008-10-21,SPX,GS,-0.03128396,-0.001235763
2008-10-21,SPTR,GS,-0.03127472,-0.001235763
2008-10-21,VIX,GS,0.00263952,-0.001235763
2008-10-22,SPX,GS,-0.06295313,-0.053225687
2008-10-22,SPTR,GS,-0.06273868,-0.053225687
2008-10-22,VIX,GS,0.27111747,-0.053225687
2008-10-23,SPX,GS,0.01255495,-0.054748731
2008-10-23,SPTR,GS,0.01258565,-0.054748731
2008-10-23,VIX,GS,-0.02692051,-0.054748731
2008-10-24,SPX,GS,-0.03512082,-0.078324851
2008-10-24,SPTR,GS,-0.03511605,-0.078324851
2008-10-24,VIX,GS,0.15452988,-0.078324851
2008-10-27,SPX,GS,-0.03227975,-0.077853439
2008-10-27,SPTR,GS,-0.03227971,-0.077853439
2008-10-27,VIX,GS,0.01168428,-0.077853439
2008-10-28,SPX,GS,0.10245733,0.007401541
2008-10-28,SPTR,GS,0.10245398,0.007401541
2008-10-28,VIX,GS,-0.17868093,0.007401541
2008-10-29,SPX,GS,-0.01114093,0.042782631
2008-10-29,SPTR,GS,-0.0109905,0.042782631
2008-10-29,VIX,GS,0.04382822,0.042782631
2008-10-30,SPX,GS,0.02547665,-0.069424036
2008-10-30,SPTR,GS,0.02565599,-0.069424036
2008-10-30,VIX,GS,-0.10637749,-0.069424036
2008-10-31,SPX,GS,0.01524857,0.015140797
2008-10-31,SPTR,GS,0.01525575,0.015140797
2008-10-31,VIX,GS,-0.04903662,0.015140797
2008-11-03,SPX,GS,-0.00253224,-0.03756169
2008-11-03,SPTR,GS,-0.00252188,-0.03756169
2008-11-03,VIX,GS,-0.10946905,-0.03756169
2008-11-04,SPX,GS,0.04001447,0.064229411
2008-11-04,SPTR,GS,0.04002171,0.064229411
2008-11-04,VIX,GS,-0.11748036,0.064229411
2008-11-05,SPX,GS,-0.05411528,-0.08303819
2008-11-05,SPTR,GS,-0.05351044,-0.08303819
2008-11-05,VIX,GS,0.13374088,-0.08303819
2008-11-06,SPX,GS,-0.05157119,-0.079851976
2008-11-06,SPTR,GS,-0.05128936,-0.079851976
2008-11-06,VIX,GS,0.15456953,-0.079851976
2008-11-07,SPX,GS,0.0284462,-0.03710184
2008-11-07,SPTR,GS,0.02879263,-0.03710184
2008-11-07,VIX,GS,-0.12673473,-0.03710184
2008-11-10,SPX,GS,-0.01273393,-0.088251054
2008-11-10,SPTR,GS,-0.01260336,-0.088251054
2008-11-10,VIX,GS,0.06687536,-0.088251054
2008-11-11,SPX,GS,-0.02228719,0.047578955
2008-11-11,SPTR,GS,-0.02228026,0.047578955
2008-11-11,VIX,GS,0.02404992,0.047578955
2008-11-12,SPX,GS,-0.05328884,-0.1116592
2008-11-12,SPTR,GS,-0.05283494,-0.1116592
2008-11-12,VIX,GS,0.07853917,-0.1116592
2008-11-13,SPX,GS,0.0669226,0.046798659
2008-11-13,SPTR,GS,0.06704751,0.046798659
2008-11-13,VIX,GS,-0.10509306,0.046798659
2008-11-14,SPX,GS,-0.04259349,-0.047697661
2008-11-14,SPTR,GS,-0.0424133,-0.047697661
2008-11-14,VIX,GS,0.10283351,-0.047697661
2008-11-17,SPX,GS,-0.02614938,-0.06564847
2008-11-17,SPTR,GS,-0.02610913,-0.06564847
2008-11-17,VIX,GS,0.04193734,-0.06564847
2008-11-18,SPX,GS,0.0097903,-0.007388226
2008-11-18,SPTR,GS,0.0099842,-0.007388226
2008-11-18,VIX,GS,-0.02207853,-0.007388226
2008-11-19,SPX,GS,-0.06310552,-0.117017079
2008-11-19,SPTR,GS,-0.06299649,-0.117017079
2008-11-19,VIX,GS,0.09337293,-0.117017079
2008-11-20,SPX,GS,-0.06948183,-0.0593573
2008-11-20,SPTR,GS,-0.06943494,-0.0593573
2008-11-20,VIX,GS,0.08514682,-0.0593573
2008-11-21,SPX,GS,0.06132797,0.024879912
2008-11-21,SPTR,GS,0.06154004,0.024879912
2008-11-21,VIX,GS,-0.10679062,0.024879912
2008-11-24,SPX,GS,0.06271427,0.234817544
2008-11-24,SPTR,GS,0.06273732,0.234817544
2008-11-24,VIX,GS,-0.11616744,0.234817544
2008-11-25,SPX,GS,0.00652939,0.062663953
2008-11-25,SPTR,GS,0.00668148,0.062663953
2008-11-25,VIX,GS,-0.06052803,0.062663953
2008-11-26,SPX,GS,0.03471843,0.063684406
2008-11-26,SPTR,GS,0.03510213,0.063684406
2008-11-26,VIX,GS,-0.10335559,0.063684406
2008-11-28,SPX,GS,0.00959692,0.032030502
2008-11-28,SPTR,GS,0.00962761,0.032030502
2008-11-28,VIX,GS,0.0065336,0.032030502
2008-12-01,SPX,GS,-0.09353656,-0.183308844
2008-12-01,SPTR,GS,-0.0934671,-0.183308844
2008-12-01,VIX,GS,0.21456854,-0.183308844
2008-12-02,SPX,GS,0.03916369,-0.011624301
2008-12-02,SPTR,GS,0.03923637,-0.011624301
2008-12-02,VIX,GS,-0.0841625,-0.011624301
2008-12-03,SPX,GS,0.02550806,0.058994117
2008-12-03,SPTR,GS,0.0260402,0.058994117
2008-12-03,VIX,GS,-0.03654408,0.058994117
2008-12-04,SPX,GS,-0.02974648,-0.020810035
2008-12-04,SPTR,GS,-0.02970165,-0.020810035
2008-12-04,VIX,GS,0.04696907,-0.020810035
2008-12-05,SPX,GS,0.03584905,0.046156222
2008-12-05,SPTR,GS,0.03586911,0.046156222
2008-12-05,VIX,GS,-0.06006499,0.046156222
2008-12-08,SPX,GS,0.03766888,0.08702321
2008-12-08,SPTR,GS,0.03784243,0.08702321
2008-12-08,VIX,GS,-0.02432142,0.08702321
2008-12-09,SPX,GS,-0.02338891,-0.058448304
2008-12-09,SPTR,GS,-0.02335912,-0.058448304
2008-12-09,VIX,GS,0.00715506,-0.058448304
2008-12-10,SPX,GS,0.011824,-0.017186851
2008-12-10,SPTR,GS,0.0119268,-0.017186851
2008-12-10,VIX,GS,-0.05549225,-0.017186851
2008-12-11,SPX,GS,-0.0289388,-0.025773296
2008-12-11,SPTR,GS,-0.02866455,-0.025773296
2008-12-11,VIX,GS,0.00089678,-0.025773296
2008-12-12,SPX,GS,0.00700388,-0.028667
2008-12-12,SPTR,GS,0.00701286,-0.028667
2008-12-12,VIX,GS,-0.02725955,-0.028667
2008-12-15,SPX,GS,-0.01276686,-0.019076811
2008-12-15,SPTR,GS,-0.01271969,-0.019076811
2008-12-15,VIX,GS,0.04467602,-0.019076811
2008-12-16,SPX,GS,0.05008483,0.134133087
2008-12-16,SPTR,GS,0.05008795,0.134133087
2008-12-16,VIX,GS,-0.08049794,0.134133087
2008-12-17,SPX,GS,-0.00963916,0.035925868
2008-12-17,SPTR,GS,-0.00958857,0.035925868
2008-12-17,VIX,GS,-0.04951603,0.035925868
2008-12-18,SPX,GS,-0.02138988,0.015992437
2008-12-18,SPTR,GS,-0.02134992,0.015992437
2008-12-18,VIX,GS,-0.05146227,0.015992437
2008-12-19,SPX,GS,0.00293262,0.008459121
2008-12-19,SPTR,GS,0.00295025,0.008459121
2008-12-19,VIX,GS,-0.05224988,0.008459121
2008-12-22,SPX,GS,-0.01847158,-0.047304418
2008-12-22,SPTR,GS,-0.01837533,-0.047304418
2008-12-22,VIX,GS,-0.00826913,-0.047304418
2008-12-23,SPX,GS,-0.00976495,-0.023654577
2008-12-23,SPTR,GS,-0.00956995,-0.023654577
2008-12-23,VIX,GS,0.01027024,-0.023654577
2008-12-24,SPX,GS,0.00576444,0.016354533
2008-12-24,SPTR,GS,0.00623539,0.016354533
2008-12-24,VIX,GS,-0.0048987,0.016354533
2008-12-26,SPX,GS,0.00534192,-0.006167983
2008-12-26,SPTR,GS,0.00533625,-0.006167983
2008-12-26,VIX,GS,-0.03220963,-0.006167983
2008-12-29,SPX,GS,-0.00388011,0.007736
2008-12-29,SPTR,GS,-0.00354956,0.007736
2008-12-29,VIX,GS,0.01191582,0.007736
2008-12-30,SPX,GS,0.02411398,0.069375865
2008-12-30,SPTR,GS,0.0243051,0.069375865
2008-12-30,VIX,GS,-0.05309326,0.069375865
2008-12-31,SPX,GS,0.01405907,0.027998362
2008-12-31,SPTR,GS,0.0140866,0.027998362
2008-12-31,VIX,GS,-0.03994161,0.027998362
2009-01-02,SPX,GS,0.03111883,0.027696876
2009-01-02,SPTR,GS,0.03129509,0.027696876
2009-01-02,VIX,GS,-0.02045784,0.027696876
2009-01-05,SPX,GS,-0.00467932,0.023016086
