d,rf_str,mkt_str,smb_str,hml_str,umd_str
2008-08-11, 5.99999984842725E-05, 6.69999979436398E-03, 1.53000000864267E-02, 8.89999978244305E-03,-1.86999998986721E-02
2008-08-12, 5.99999984842725E-05,-9.70000028610229E-03, 8.39999970048666E-03,-1.76999997347593E-02, 2.07000002264977E-02
2008-08-13, 5.99999984842725E-05,-9.99999974737875E-05, 4.19999985024333E-03,-1.42000000923872E-02, 2.99999993294477E-02
2008-08-14, 5.99999984842725E-05, 5.10000018402934E-03, 3.29999998211861E-03, 8.70000012218952E-03,-1.98999997228384E-02
2008-08-15, 5.99999984842725E-05, 1.39999995008111E-03,-2.40000011399388E-03, 9.20000020414591E-03,-1.82000007480383E-02
2008-08-18, 5.99999984842725E-05,-1.35000003501773E-02, 1.79999996908009E-03,-6.00000005215406E-03, 1.72000005841255E-02
2008-08-19, 5.99999984842725E-05,-8.99999961256981E-03,-8.00000037997961E-03,-8.2999998703599E-03, 2.76999995112419E-02
2008-08-20, 5.99999984842725E-05, 6.80000009015203E-03,-7.49999983236194E-03, 1.09999999403954E-03, 7.79999978840351E-03
2008-08-21, 5.99999984842725E-05, 3.10000008903444E-03,-1.08000002801418E-02,-1.50000001303852E-03, 6.89999992027879E-03
2008-08-22, 5.99999984842725E-05, 9.60000045597553E-03, 6.50000013411045E-03, 6.80000009015203E-03,-1.85000002384186E-02
2008-08-25, 5.99999984842725E-05,-1.86999998986721E-02,-1.79999996908009E-03,-3.70000000111759E-03, 9.60000045597553E-03
2008-08-26, 5.99999984842725E-05, 3.50000010803342E-03,-2.60000000707805E-03, 2.0000000949949E-03, 2.30000005103648E-03
2008-08-27, 5.99999984842725E-05, 9.4999996945262E-03, 2.40000011399388E-03, 3.70000000111759E-03,-4.30000014603138E-03
2008-08-28, 5.99999984842725E-05, .014299999922514, 4.00000018998981E-03, 1.35000003501773E-02,-2.01999992132187E-02
2008-08-29, 5.99999984842725E-05,-1.18000004440546E-02, 2.70000007003546E-03, 6.09999988228083E-03,-4.69999993219972E-03
2008-09-02, 7.00000018696301E-05,-7.00000021606684E-03, 6.50000013411045E-03, 1.38999996706843E-02,-2.29000002145767E-02
2008-09-03, 7.00000018696301E-05,-3.00000002607703E-03, 7.00000021606684E-03, 1.43999997526407E-02,-.016499999910593
2008-09-04, 7.00000018696301E-05,-.028999999165535, 1.9000000320375E-03,-4.19999985024333E-03, 1.26000000163913E-02
2008-09-05, 7.00000018696301E-05, 3.80000006407499E-03,-6.3999998383224E-03, 1.20000001043081E-02,-8.2999998703599E-03
2008-09-08, 7.00000018696301E-05, 1.48000000044703E-02,-3.40000004507601E-03, 1.81000009179115E-02,-2.07000002264977E-02
2008-09-09, 7.00000018696301E-05,-3.51000018417835E-02, 7.49999983236194E-03,-1.08000002801418E-02, 9.20000020414591E-03
2008-09-10, 7.00000018696301E-05, .008500000461936, 2.19999998807907E-03,-3.70000000111759E-03, 2.14000009000301E-02
2008-09-11, 7.00000018696301E-05, 1.09999999403954E-02,-9.80000011622906E-03, 3.59999993816018E-03, 7.1000000461936E-03
2008-09-12, 7.00000018696301E-05, 5.2000000141561E-03,-2.40000011399388E-03,-3.00000014249235E-04, 1.05999996885657E-02
2008-09-15, 7.00000018696301E-05,-4.58999983966351E-02, 1.36000001803041E-02,-2.18000002205372E-02, 2.95000001788139E-02
2008-09-16, 7.00000018696301E-05, 1.53000000864267E-02, 4.19999985024333E-03, .016499999910593,-5.00000023748726E-04
2008-09-17, 7.00000018696301E-05,-4.58000004291534E-02, 3.70000000111759E-03,-1.85000002384186E-02, 1.86000000685453E-02
2008-09-18, 7.00000018696301E-05, 4.41999994218349E-02, 1.49999996647239E-02, 4.01000007987022E-02,-4.52000014483929E-02
2008-09-19, 7.00000018696301E-05, 4.58000004291534E-02,-1.76999997347593E-02, 3.20000015199184E-02,-3.59999984502792E-02
2008-09-22, 7.00000018696301E-05,-3.70000004768372E-02, 7.999999797903E-04,-2.83000003546476E-02, 2.62000001966953E-02
2008-09-23, 7.00000018696301E-05,-1.56999994069338E-02, 1.09999999403954E-03, 1.09999999403954E-03, 3.00000002607703E-03
2008-09-24, 7.00000018696301E-05,-3.40000004507601E-03,-1.10999997705221E-02,-6.3999998383224E-03, 1.04000000283122E-02
2008-09-25, 7.00000018696301E-05, .016499999910593,-1.10999997705221E-02, 7.00000021606684E-03,-4.4999998062849E-03
2008-09-26, 7.00000018696301E-05,-2.0000000949949E-03,-6.59999996423721E-03, 4.60000010207295E-03,-4.4999998062849E-03
2008-09-29, 7.00000018696301E-05,-8.29000025987625E-02, 3.05000003427267E-02,-3.20000015199184E-02, 3.37000004947186E-02
2008-09-30, 7.00000018696301E-05, 4.67999987304211E-02,-.033100001513958, 2.29000002145767E-02,-2.63000000268221E-02
2008-10-01, 2.99999992421363E-05,-5.70000009611249E-03,-5.49999997019768E-03, 2.45999991893768E-02,-1.62000004202127E-02
2008-10-02, 2.99999992421363E-05,-4.56999987363815E-02,-3.50000010803342E-03, 2.89999996311963E-03, 1.04000000283122E-02
2008-10-03, 2.99999992421363E-05,-1.43999997526407E-02,-8.89999978244305E-03,-1.22999995946884E-02, 1.90999992191792E-02
2008-10-06, 2.99999992421363E-05,-4.25000004470348E-02, 0, 3.50000010803342E-03, 9.70000028610229E-03
2008-10-07, 2.99999992421363E-05,-5.82000017166138E-02, 8.39999970048666E-03,-.029899999499321, 3.09999994933605E-02
2008-10-08, 2.99999992421363E-05,-1.15999998524785E-02,-4.90000005811453E-03,-1.72000005841255E-02, 1.36000001803041E-02
2008-10-09, 2.99999992421363E-05,-7.32999965548515E-02,-2.09999992512167E-03,-.025900000706315, 2.08999998867512E-02
2008-10-10, 2.99999992421363E-05,-1.20000001043081E-02, 4.30999994277954E-02, 1.87999997287989E-02,-4.99999988824129E-03
2008-10-13, 2.99999992421363E-05, .115099996328354,-2.82000005245209E-02,-1.56999994069338E-02,-.013399999588728
2008-10-14, 2.99999992421363E-05,-8.99999961256981E-03,-2.47000008821487E-02, 3.59000004827976E-02,-1.90999992191792E-02
2008-10-15, 2.99999992421363E-05,-9.00000035762787E-02, 6.00000005215406E-03, 1.99999994947575E-04, 1.89999993890524E-02
2008-10-16, 2.99999992421363E-05, 3.97999994456768E-02, 2.03000009059906E-02,-.012699999846518, 1.40000004321337E-02
2008-10-17, 2.99999992421363E-05,-2.30000005103648E-03,-8.60000029206276E-03,-4.99999988824129E-03,-4.80000022798777E-03
2008-10-20, 2.99999992421363E-05, 4.65000011026859E-02,-1.56999994069338E-02,-2.09999992512167E-03, 7.00000021606684E-03
2008-10-21, 2.99999992421363E-05,-3.13999988138676E-02, 1.70000002253801E-03, 4.69999993219972E-03, 4.30000014603138E-03
2008-10-22, 2.99999992421363E-05,-5.92000000178814E-02, 1.05999996885657E-02,-1.09999999403954E-03, 1.20000001043081E-02
2008-10-23, 2.99999992421363E-05, 8.99999984540045E-04,-3.40999998152256E-02,-4.00000018998981E-03, 1.81000009179115E-02
2008-10-24, 2.99999992421363E-05,-3.33000011742115E-02, 5.00000023748726E-04,-6.69999979436398E-03, 1.02000003680587E-02
2008-10-27, 2.99999992421363E-05,-3.70999984443188E-02,-7.30000017210841E-03, 2.49999994412065E-03, 3.80000006407499E-03
2008-10-28, 2.99999992421363E-05, 9.53999981284142E-02,-3.79999987781048E-02, 3.50000010803342E-03,-.016100000590086
2008-10-29, 2.99999992421363E-05, 1.39999995008111E-03, 2.55999993532896E-02,-7.40000000223517E-03,-9.60000045597553E-03
2008-10-30, 2.99999992421363E-05, 3.18000018596649E-02, 1.64000000804663E-02,-3.9999998989515E-04,-9.4999996945262E-03
2008-10-31, 2.99999992421363E-05, 1.83000005781651E-02, .023700000718236, 1.46000003442168E-02,-4.00000018998981E-03
2008-11-03, 9.99999974737875E-06,-6.99999975040555E-04, 3.00000002607703E-03, 2.79999990016222E-03,-4.10000002011657E-03
2008-11-04, 9.99999974737875E-06, 3.88999991118908E-02,-2.71000005304813E-02, 4.30000014603138E-03,-2.51000002026558E-02
2008-11-05, 9.99999974737875E-06,-5.07000014185905E-02, 1.5999999595806E-03,-1.15999998524785E-02, 2.19000000506639E-02
2008-11-06, 9.99999974737875E-06,-4.93000000715256E-02, 1.63000002503395E-02,-4.60000010207295E-03, 3.22999991476536E-02
2008-11-07, 9.99999974737875E-06, 2.63000000268221E-02,-1.26000000163913E-02,-5.40000014007092E-03,-2.30000005103648E-03
2008-11-10, 9.99999974737875E-06,-.013399999588728,-8.99999961256981E-03,-1.54999997466803E-02, 1.85000002384186E-02
2008-11-11, 9.99999974737875E-06,-2.43999995291233E-02, 2.0000000949949E-03, 6.00000028498471E-04, 2.74000000208616E-02
2008-11-12, 9.99999974737875E-06,-5.38999997079372E-02,-2.89999996311963E-03,-1.15000000223517E-02, .035300001502037
2008-11-13, 9.99999974737875E-06, 6.83000013232231E-02, 3.89999989420176E-03, 8.99999984540045E-04,-1.93000007420778E-02
2008-11-14, 9.99999974737875E-06,-.043699998408556,-2.00999993830919E-02, 6.00000028498471E-04, 7.79999978840351E-03
2008-11-17, 9.99999974737875E-06,-2.42999996989965E-02, 1.59000009298325E-02,-9.70000028610229E-03, 2.71000005304813E-02
2008-11-18, 9.99999974737875E-06, 5.9000002220273E-03,-1.30000002682209E-02,-4.00000018998981E-03, 1.43999997526407E-02
2008-11-19, 9.99999974737875E-06,-6.44000023603439E-02,-1.30000000353903E-03,-2.53999996930361E-02, 3.99999991059303E-02
2008-11-20, 9.99999974737875E-06,-7.09000006318092E-02, 1.73000004142523E-02,-2.49000005424023E-02, 4.49000000953674E-02
2008-11-21, 9.99999974737875E-06, 6.15000016987324E-02,-1.76999997347593E-02,-1.37000000104308E-02,-5.29999984428287E-03
2008-11-24, 9.99999974737875E-06, 6.67999982833862E-02,-9.4999996945262E-03, 3.46999987959862E-02,-7.19000026583672E-02
2008-11-25, 9.99999974737875E-06, 9.60000045597553E-03, 1.30000000353903E-03, 2.27000005543232E-02,-1.98999997228384E-02
2008-11-26, 9.99999974737875E-06, 3.86999994516373E-02, 1.44999995827675E-02, 1.9000000320375E-03,-5.11999987065792E-02
2008-11-28, 9.99999974737875E-06, 1.03000001981854E-02,-3.29999998211861E-03, 1.16999996826053E-02,-.024100000038743
2008-12-01, 3.9999998989515E-05,-9.00000035762787E-02,-8.00000037997961E-03,-2.69000008702278E-02, 4.34999987483025E-02
2008-12-02, 3.9999998989515E-05, 3.77999991178513E-02, 7.49999983236194E-03, 1.86000000685453E-02,-1.72000005841255E-02
2008-12-03, 3.9999998989515E-05, 2.42999996989965E-02,-6.99999975040555E-04, 9.89999994635582E-03,-4.99999988824129E-03
2008-12-04, 3.9999998989515E-05,-3.04000005125999E-02, 4.10000002011657E-03, 6.20000017806888E-03, 7.69999995827675E-03
2008-12-05, 3.9999998989515E-05, 3.64999994635582E-02, 2.79999990016222E-03, 1.02000003680587E-02,-1.86000000685453E-02
2008-12-08, 3.9999998989515E-05, 4.06000018119812E-02,-4.60000010207295E-03, 2.70000007003546E-03,-4.54000011086464E-02
2008-12-09, 3.9999998989515E-05,-2.27000005543232E-02,-6.09999988228083E-03,-9.60000045597553E-03,-5.70000009611249E-03
2008-12-10, 3.9999998989515E-05, 1.48999998345971E-02, 6.89999992027879E-03,-4.80000022798777E-03,-1.22999995946884E-02
2008-12-11, 3.9999998989515E-05,-3.03000006824732E-02,-1.25000001862645E-02,-1.71000007539988E-02, 1.37000000104308E-02
2008-12-12, 3.9999998989515E-05, .010499999858439, .024100000038743, 3.9999998989515E-04,-3.29999998211861E-03
2008-12-15, 3.9999998989515E-05,-1.41000002622604E-02,-1.32999997586012E-02,-9.10000037401915E-03, 1.31000000983477E-02
2008-12-16, 3.9999998989515E-05, 5.29999993741512E-02,-3.9999998989515E-04, 1.79999992251396E-02,-3.08999996632338E-02
2008-12-17, 3.9999998989515E-05,-4.99999988824129E-03, .016100000590086,-3.70000000111759E-03,-.014299999922514
2008-12-18, 3.9999998989515E-05,-2.06000003963709E-02, 9.70000028610229E-03,-4.30000014603138E-03, 1.48000000044703E-02
2008-12-19, 3.9999998989515E-05, 4.10000002011657E-03, 7.00000021606684E-03,-1.39999995008111E-03,-1.21999997645617E-02
2008-12-22, 3.9999998989515E-05,-1.94000005722046E-02,-9.99999974737875E-05,-8.10000021010637E-03, 3.40999998152256E-02
2008-12-23, 3.9999998989515E-05,-7.60000012814999E-03,-7.999999797903E-04,-6.09999988228083E-03, 1.24000003561378E-02
2008-12-24, 3.9999998989515E-05, 4.39999997615814E-03,-2.30000005103648E-03, 3.50000010803342E-03,-3.29999998211861E-03
2008-12-26, 3.9999998989515E-05, 7.1000000461936E-03, 5.40000014007092E-03, 1.00000004749745E-03,-8.00000037997961E-03
